,Name,Population,Latitude,Longitude,city
0,Aleksandrów Kujawski,12565,"52,8765365","18,6935744",aleksandrow-kujawski
1,Aleksandrów Łódzki,21245,"51,8196533","19,3035375",aleksandrow-łodzki
2,Alwernia,3425,"50,0690434","19,5396737",alwernia
3,Andrychów,21111,"49,8555791","19,3436756",andrychow
4,Annopol,2675,"50,8851655","21,8550836",annopol
5,Augustów,30610,"53,8437331","22,9802357",augustow
6,Babimost,4037,"52,165312","15,8285175",babimost
7,Baborów,2954,"50,1563566","17,9859393",baborow
8,Baranów Sandomierski,1497,"50,4994982","21,5417887",baranow-sandomierski
9,Barcin,7609,"52,8632346","17,9472463",barcin
10,Barczewo,7265,"53,8297112","20,6911497",barczewo
11,Bardo,2741,"50,50676","16,7402382",bardo
12,Barlinek,14263,"52,9920762","15,2166391",barlinek
13,Bartoszyce,24552,"54,2523695","20,8143766",bartoszyce
14,Barwice,3851,"53,7445649","16,3549399",barwice
15,Bełchatów,59565,"51,3650175","19,3691833",belchatow
16,Bełżyce,6765,"51,175063","22,2749995",belzyce
17,Będzin,58425,"50,3230785","19,1322201",bedzin
18,Biała,2456,"50,3853609","17,6599107",biala
19,Biała Piska,4125,"53,6113625","22,0581433",biala-piska
20,Biała Podlaska,57658,"52,0338399","23,1193948",biala-podlaska
21,Biała Rawska,3244,"51,8075978","20,4720942",biala-rawska
22,Białobrzegi,7132,"51,6482305","20,9497458",bialobrzegi
23,Białogard,24722,"54,0064367","15,9870974",bialogard
24,Biały Bór,2229,"53,8987414","16,8377275",bialy-bor
25,Białystok,295459,"53,132398","23,1591679",bialystok
26,Biecz,4705,"49,7305351","21,249421",biecz
27,Bielawa,31023,"50,6871117","16,6160879",bielawa
28,Bielsk Podlaski,26336,"52,7687555","23,1925618",bielsk-podlaski
29,Bielsko-Biała,173699,"49,822118","19,0448936",bielsko-biala
30,Bieruń,19696,"50,0931922","19,0918262",bierun
31,Bierutów,5032,"51,1252738","17,5400351",bierutow
32,Bieżuń,1910,"52,9617996","19,8899936",biezun
33,Biłgoraj,27169,"50,5424846","22,7209326",bilgoraj
34,Biskupiec,10626,"53,8688","20,95518",biskupiec
35,Bisztynek,2492,"54,0866828","20,908828",bisztynek
36,Blachownia,9865,"50,7820239","18,9684255",blachownia
37,Błaszki,2273,"51,6525013","18,4329261",blaszki
38,Błażowa,2176,"49,8856022","22,1008013",blazowa
39,Błonie,12570,"52,1946065","20,6169694",blonie
40,Bobolice,4218,"53,954693","16,5884779",bobolice
41,Bobowa,3086,"49,7130028","20,9576054",bobowa
42,Bochnia,30219,"49,9693563","20,430541",bochnia
43,Bodzentyn,2274,"50,9409927","20,9573478",bodzentyn
44,Bogatynia,18030,"50,9077147","14,9539185",bogatynia
45,Boguchwała,6030,"49,9806882","21,9391822",boguchwala
46,Boguszów-Gorce,15640,"50,7566795","16,2043895",boguszow-gorce
47,Bojanowo,2970,"51,7075453","16,7481308",bojanowo
48,Bolesławiec,39603,"51,2630333","15,5651049",boleslawiec
49,Bolków,4967,"50,9219695","16,1006519",bolkow
50,Borek Wielkopolski,2533,"51,916153","17,2425955",borek-wielkopolski
51,Borne Sulinowo,4905,"53,5812939","16,538117",borne-sulinowo
52,Braniewo,17385,"54,3824857","19,8275588",braniewo
53,Brańsk,3800,"52,7454145","22,8328169",bransk
54,Brodnica,28579,"53,258092","19,3993626",brodnica
55,Brok,1955,"52,6989287","21,8601815",brok
56,Brusy,5037,"53,8861557","17,7190437",brusy
57,Brwinów,13090,"52,1425551","20,7170701",brwinow
58,Brzeg,36980,"50,8614882","17,470497",brzeg
59,Brzeg Dolny,12536,"51,2613682","16,7228123",brzeg-dolny
60,Brzesko,17097,"49,9678396","20,6068496",brzesko
61,Brzeszcze,11474,"49,9819014","19,1528065",brzeszcze
62,Brześć Kujawski,4697,"52,6048164","18,9015463",brzesc-kujawski
63,Brzeziny,12577,"51,8004949","19,7517694",brzeziny
64,Brzostek,2597,"49,8784697","21,411865",brzostek
65,Brzozów,7836,"49,6950395","22,0196537",brzozow
66,Budzyń,4333,"52,8909489","16,9835951",budzyn
67,Buk,6225,"52,357408","16,5166799",buk
68,Bukowno,10411,"50,2697776","19,4638131",bukowno
69,Busko-Zdrój,16694,"50,46759","20,71919",busko-zdroj
70,Bychawa,5178,"51,0152225","22,534535",bychawa
71,Byczyna,3714,"51,1142355","18,2143288",byczyna
72,Bydgoszcz,350178,"53,1219648","18,0002529",bydgoszcz
73,Bystrzyca Kłodzka,10476,"50,2968684","16,652017",bystrzyca-klodzka
74,Bytom,173439,"50,3470387","18,9231857",bytom
75,Bytom Odrzański,4408,"51,7308267","15,826918",bytom-odrzanski
76,Bytów,16842,"54,168855","17,4922953",bytow
77,Cedynia,1651,"52,8785605","14,202564",cedynia
78,Chełm,108311,"51,1339221","23,4711548",chelm
79,Chełmek,9150,"50,1003348","19,2542585",chelmek
80,Chełmno,20622,"53,3493915","18,4235473",chelmno
81,Chełmża,14967,"53,1860233","18,6112806",chelmza
82,Chęciny,4438,"50,8000835","20,4622228",checiny
83,Chmielnik,3834,"50,6145952","20,7510406",chmielnik
84,Chocianów,8194,"51,4168327","15,8986889",chocianow
85,Chociwel,3206,"53,4663949","15,3314436",chociwel
86,Chocz,1808,"51,97514","17,8707",chocz
87,Chodecz,1893,"52,4051735","19,0272596",chodecz
88,Chodzież,19399,"52,9886824","16,9159506",chodziez
89,Chojna,7344,"52,9629793","14,4314113",chojna
90,Chojnice,40226,"53,6952912","17,5614973",chojnice
91,Chojnów,14071,"51,2722894","15,9335241",chojnow
92,Choroszcz,5818,"53,143925","22,9884588",choroszcz
93,Chorzele,2939,"53,2610476","20,8978631",chorzele
94,Chorzów,110761,"50,2978791","18,9544466",chorzow
95,Choszczno,15716,"53,1704801","15,4167349",choszczno
96,Chrzanów,38117,"50,1411926","19,4028502",chrzanow
97,Ciechanowiec,4753,"52,6787967","22,4991103",ciechanowiec
98,Ciechanów,44797,"52,8819798","20,6191479",ciechanow
99,Ciechocinek,10880,"52,882552","18,7906883",ciechocinek
100,Cieszanów,1975,"50,2454329","23,1301265",cieszanow
101,Cieszyn,35918,"49,7488623","18,6334308",cieszyn
102,Ciężkowice,2478,"49,786464","20,9737542",ciezkowice
103,Cybinka,2809,"52,1940293","14,7968841",cybinka
104,Czaplinek,7188,"53,560673","16,2319428",czaplinek
105,Czarna Białostocka,9671,"53,2982835","23,2851013",czarna-bialostocka
106,Czarna Woda,3223,"53,8441983","18,0984293",czarna-woda
107,Czarne,6089,"53,68353","16,94221",czarne
108,Czarnków,11256,"52,9050335","16,5639572",czarnkow
109,Czchów,2375,"49,8339446","20,6731487",czchow
110,Czechowice-Dziedzice,35684,"49,9112146","19,007564",czechowice-dziedzice
111,Czeladź,32940,"50,3184581","19,0736572",czeladz
112,Czempiń,5280,"52,1431479","16,7613308",czempin
113,Czerniejewo,2642,"52,4296119","17,489398",czerniejewo
114,Czersk,10008,"53,796196","17,9756228",czersk
115,Czerwieńsk,4110,"52,0130585","15,4211463",czerwiensk
116,Czerwińsk nad Wisłą,1089,"52,3968191","20,3096485",czerwinsk-nad-wisla
117,Czerwionka-Leszczyny,28301,"50,1449958","18,6531994",czerwionka-leszczyny
118,Częstochowa,232318,"50,8120466","19,113213",czestochowa
119,Człopa,2342,"53,0884595","16,1201069",czlopa
120,Człuchów,14385,"53,6651462","17,3588324",czluchow
121,Czyżew,2639,"52,7975512","22,3123475",czyzew
122,Ćmielów,3157,"50,8918364","21,5100875",ćmielow
123,Daleszyce,2932,"50,801991","20,8066334",daleszyce
124,Darłowo,14229,"54,42249","16,40933",darlowo
125,Dąbie,2089,"52,0871691","18,8220738",dabie
126,Dąbrowa Białostocka,5874,"53,654439","23,3485102",dabrowa-bialostocka
127,Dąbrowa Górnicza,123994,"50,3308692","19,2078918",dabrowa-gornicza
128,Dąbrowa Tarnowska,11846,"50,1743495","20,9850707",dabrowa-tarnowska
129,Debrzno,5232,"53,53861","17,2338685",debrzno
130,Dębica,46854,"50,0514601","21,4104804",debica
131,Dęblin,16656,"51,562491","21,8654383",deblin
132,Dębno,14043,"52,7396681","14,7014522",debno
133,Dobczyce,6469,"49,8803432","20,0905415",dobczyce
134,Dobiegniew,3169,"52,9667749","15,7548055",dobiegniew
135,Dobra,1454,"51,9160472","18,6151806",dobra
136,Dobra,2347,"53,584659","15,3073048",dobra
137,Dobre Miasto,10599,"53,9868899","20,3973402",dobre-miasto
138,Dobrodzień,3752,"50,7288597","18,444336",dobrodzien
139,Dobrzany,2387,"53,3582754","15,4299315",dobrzany
140,Dobrzyca,3167,"51,8668166","17,6026387",dobrzyca
141,Dobrzyń nad Wisłą,2225,"52,6374518","19,3213714",dobrzyn-nad-wisla
142,Dolsk,1560,"51,9866","17,0653695",dolsk
143,Drawno,2335,"53,2189468","15,7580084",drawno
144,Drawsko Pomorskie,11878,"53,5310786","15,8134179",drawsko-pomorskie
145,Drezdenko,10200,"52,8396642","15,8323083",drezdenko
146,Drobin,2938,"52,7377981","19,9893151",drobin
147,Drohiczyn,2055,"52,396648","22,658812",drohiczyn
148,Drzewica,4008,"51,4508384","20,4773617",drzewica
149,Dubiecko,871,"49,8253187","22,3916222",dubiecko
150,Dukla,2160,"49,55636","21,6847523",dukla
151,Duszniki-Zdrój,4899,"50,4044249","16,3901528",duszniki-zdroj
152,Dynów,6164,"49,8134771","22,2338151",dynow
153,Działdowo,21552,"53,2346517","20,1817841",dzialdowo
154,Działoszyce,981,"50,3654682","20,3521471",dzialoszyce
155,Działoszyn,6173,"51,1168037","18,8651633",dzialoszyn
156,Dzierzgoń,5593,"53,9239051","19,3479491",dzierzgon
157,Dzierżoniów,34428,"50,7283543","16,6506207",dzierzoniow
158,Dziwnów,2736,"54,025095","14,7526469",dziwnow
159,Elbląg,126460,"54,1558708","19,4044583",elblag
160,Ełk,60621,"53,8248304","22,3615813",elk
161,Frampol,1444,"50,671832","22,6698666",frampol
162,Frombork,2475,"54,3583633","19,6823701",frombork
163,Garwolin,17060,"51,8973315","21,6149645",garwolin
164,Gąbin,4142,"52,39942","19,73072",gabin
165,Gdańsk,461935,"54,3482908","18,6540231",gdansk
166,Gdynia,248042,"54,5164982","18,5402738",gdynia
167,Giżycko,29947,"54,040092","21,7713092",gizycko
168,Glinojeck,3064,"52,819174","20,2862655",glinojeck
169,Gliwice,185450,"50,294113","18,6657306",gliwice
170,Głogów,68997,"51,6636791","16,0935567",glogow
171,Głogów Małopolski,6117,"50,1511809","21,9627571",glogow-malopolski
172,Głogówek,5755,"50,3534373","17,8619329",glogowek
173,Głowno,14814,"51,9660873","19,7135665",glowno
174,Głubczyce,12888,"50,2000941","17,8293199",glubczyce
175,Głuchołazy,14257,"50,3170828","17,3833809",glucholazy
176,Głuszyca,6635,"50,6862202","16,3730583",gluszyca
177,Gniew,6868,"53,8342221","18,8251596",gniew
178,Gniewkowo,7200,"52,894429","18,4066817",gniewkowo
179,Gniezno,69883,"52,5359736","17,595889",gniezno
180,Gogolin,6565,"50,4925107","18,0176197",gogolin
181,Golczewo,2763,"53,8241081","14,9773396",golczewo
182,Goleniów,22776,"53,5656704","14,8300626",goleniow
183,Golina,4478,"52,24276","18,09534",golina
184,Golub-Dobrzyń,12945,"53,1138924","19,0544501",golub-dobrzyn
185,Gołańcz,3413,"52,9431644","17,2999756",golancz
186,Gołdap,13808,"54,3080218","22,3018802",goldap
187,Goniądz,1900,"53,489222","22,7323721",goniadz
188,Goraj,968,"50,7212294","22,6682146",goraj
189,Gorlice,28415,"49,65829","21,1593832",gorlice
190,Gorzów Śląski,2532,"51,0281551","18,4222682",gorzow-ślaski
191,Gorzów Wielkopolski,124344,"52,7309926","15,2400451",gorzow
192,Gostynin,19092,"52,4287607","19,4612956",gostynin
193,Gostyń,20183,"51,8778633","17,0167637",gostyn
194,Gościno,2332,"54,0515795","15,6534004",goscino
195,Gozdnica,3272,"51,4373182","15,0960336",gozdnica
196,Góra,12448,"51,6681499","16,5393277",gora
197,Góra Kalwaria,11454,"51,9843765","21,2140226",gora-kalwaria
198,Górowo Iławeckie,4264,"54,2842481","20,4916449",gorowo-ilaweckie
199,Górzno,1410,"53,1980846","19,6445713",gorzno
200,Grabów nad Prosną,1976,"51,5060515","18,1188808",grabow-nad-prosna
201,Grajewo,22246,"53,6469842","22,4548627",grajewo
202,Grodków,8746,"50,698157","17,3849804",grodkow
203,Grodzisk Mazowiecki,29907,"52,1066223","20,6313441",grodzisk-mazowiecki
204,Grodzisk Wielkopolski,14339,"52,2263198","16,3628106",grodzisk-wielkopolski
205,Grójec,16197,"51,8655126","20,8675017",grojec
206,Grudziądz,97676,"53,4876477","18,7557759",grudziadz
207,Grybów,6066,"49,6250919","20,9446455",grybow
208,Gryfice,16898,"53,9148529","15,1987062",gryfice
209,Gryfino,21578,"53,2535889","14,4924243",gryfino
210,Gryfów Śląski,6902,"51,0281455","15,4145051",gryfow-ślaski
211,Guben,17655,"51,9503235","14,7153567",guben
212,Gubin,16952,"51,9509817","14,7272814",gubin
213,Hajnówka,21559,"52,7396541","23,5817869",hajnowka
214,Halinów,3707,"52,2258575","21,3529522",halinow
215,Hel,3491,"54,6066432","18,8027076",hel
216,Hrubieszów,18585,"50,8047363","23,8873816",hrubieszow
217,Iława,33338,"53,5976095","19,5612175",ilawa
218,Iłowa,4013,"51,5006828","15,1984599",ilowa
219,Iłża,5054,"51,1624174","21,2374622",ilza
220,Imielin,8621,"50,1454718","19,1857589",imielin
221,Inowrocław,75001,"52,7952408","18,2595624",inowroclaw
222,Ińsko,2035,"53,4365292","15,5503079",insko
223,Iwonicz-Zdrój,1842,"49,5696688","21,7932328",iwonicz-zdroj
224,Izbica Kujawska,2762,"52,41925","18,76435",izbica-kujawska
225,Jabłonowo Pomorskie,3806,"53,387984","19,1527034",jablonowo-pomorskie
226,Janikowo,9169,"52,7531648","18,1141024",janikowo
227,Janowiec Wielkopolski,4002,"52,7567264","17,4887698",janowiec-wielkopolski
228,Janów Lubelski,12092,"50,7065895","22,4110663",janow-lubelski
229,Jaraczewo,1486,"51,9689115","17,2981142",jaraczewo
230,Jarocin,26394,"51,9738992","17,5011225",jarocin
231,Jarosław,39146,"50,0159029","22,6796573",jaroslaw
232,Jasień,4463,"51,7515442","15,0123351",jasien
233,Jasło,36363,"49,7470465","21,4743139",jaslo
234,Jastarnia,3874,"54,702764","18,6712892",jastarnia
235,Jastrowie,8664,"53,4205494","16,8150156",jastrowie
236,Jastrzębie-Zdrój,91235,"49,9519085","18,6023614",jastrzebie-zdroj
237,Jawor,22758,"51,0504653","16,1932008",jawor
238,Jaworzno,93708,"50,203439","19,2721559",jaworzno
239,Jaworzyna Śląska,5226,"50,9144217","16,4308642",jaworzyna-ślaska
240,Jedlicze,5770,"49,714148","21,6421513",jedlicze
241,Jedlina-Zdrój,5000,"50,7238213","16,3457478",jedlina-zdroj
242,Jedwabne,1717,"53,2867308","22,3021413",jedwabne
243,Jelcz-Laskowice,15828,"51,0398306","17,3499638",jelcz-laskowice
244,Jelenia Góra,84306,"50,9031028","15,7344306",jelenia-gora
245,Jeziorany,3346,"53,9768604","20,7459137",jeziorany
246,Jędrzejów,15471,"50,6394435","20,3046116",jedrzejow
247,Jordanów,5340,"49,6492876","19,8299532",jordanow
248,Józefów,19914,"52,1361065","21,234551",jozefow
249,Józefów,2494,"50,480395","23,053636",jozefow
250,Józefów nad Wisłą,920,"51,0408518","21,8296779",jozefow-nad-wisla
251,Jutrosin,1946,"51,6536197","17,1689896",jutrosin
252,Kalety,8681,"50,5636291","18,885746",kalety
253,Kalisz,103997,"51,7624752","18,0895358",kalisz
254,Kalisz Pomorski,4361,"53,2981616","15,9059903",kalisz-pomorski
255,Kalwaria Zebrzydowska,4593,"49,8669482","19,6763089",kalwaria-zebrzydowska
256,Kałuszyn,2916,"52,2082344","21,8133341",kaluszyn
257,Kamieniec Ząbkowicki,4848,"50,5229139","16,8736143",kamieniec-zabkowicki
258,Kamienna Góra,20014,"50,7837361","16,0336631",kamienna-gora
259,Kamień Krajeński,2358,"53,5333203","17,5199143",kamien-krajenski
260,Kamień Pomorski,9070,"53,9648364","14,7734718",kamien-pomorski
261,Kamieńsk,2890,"51,204172","19,4970714",kamiensk
262,Kamionka,,"51,4711228","22,4644249",kamionka
263,Kańczuga,3222,"49,9843732","22,4131838",kanczuga
264,Karczew,10160,"52,0782795","21,2508068",karczew
265,Kargowa,3743,"52,0719225","15,8648044",kargowa
266,Karlino,5974,"54,0410287","15,8793019",karlino
267,Karpacz,4570,"50,7747485","15,7542035",karpacz
268,Kartuzy,14866,"54,3342281","18,1973639",kartuzy
269,Katowice,304362,"50,2598987","19,0215852",katowice
270,Kazimierz Dolny,2607,"51,3220058","21,947372",kazimierz-dolny
271,Kazimierza Wielka,5748,"50,267489","20,4853308",kazimierza-wielka
272,Kąty Wrocławskie,6422,"51,0302656","16,7702325",katy-wroclawskie
273,Kcynia,4713,"52,9917668","17,4873729",kcynia
274,Kędzierzyn-Koźle,63194,"50,3448836","18,2109594",kedzierzyn-kozle
275,Kępice,3802,"54,2427792","16,8896705",kepice
276,Kępno,14190,"51,2790265","17,9866632",kepno
277,Kętrzyn,28051,"54,0764176","21,3752627",ketrzyn
278,Kęty,19104,"49,8817723","19,2302036",kety
279,Kielce,187374,"50,8719903","20,6310488",kielce
280,Kietrz,6267,"50,0796271","18,0021082",kietrz
281,Kisielice,2155,"53,6076054","19,2593923",kisielice
282,Kleczew,4240,"52,3707265","18,1779886",kleczew
283,Kleszczele,1345,"52,574173","23,3254851",kleszczele
284,Klimontów,2000,"50,6563871","21,4506186",klimontow
285,Kluczbork,24544,"50,9730701","18,2140089",kluczbork
286,Kłecko,2661,"52,6324247","17,4282911",klecko
287,Kłobuck,13246,"50,9024828","18,9371319",klobuck
288,Kłodawa,6721,"52,2574519","18,911206",klodawa
289,Kłodzko,27997,"50,438651","16,6551878",klodzko
290,Knurów,39090,"50,2216536","18,6706574",knurow
291,Knyszyn,2850,"53,3122442","22,9200387",knyszyn
292,Kobylin,3236,"51,7163621","17,2247584",kobylin
293,Kobyłka,20855,"52,3387086","21,1965315",kobylka
294,Kolbuszowa,9329,"50,2433277","21,7754563",kolbuszowa
295,Kolno,10579,"53,4109383","21,9312439",kolno
296,Kolonowskie,3343,"50,6528574","18,3831071",kolonowskie
297,Koluszki,13419,"51,7444956","19,817966",koluszki
298,Kołaczyce,1420,"49,8076605","21,4340516",kolaczyce
299,Koło,23026,"52,2019866","18,6359912",kolo
300,Kołobrzeg,44980,"54,1759614","15,5764209",kolobrzeg
301,Koniecpol,6165,"50,7725294","19,6769723",koniecpol
302,Konin,77224,"52,2301933","18,2521112",konin
303,Konstancin-Jeziorna,17566,"52,0834787","21,1208073",konstancin-jeziorna
304,Konstantynów Łódzki,17804,"51,7475546","19,3255118",konstantynow-łodzki
305,Końskie,20281,"51,1910223","20,4071836",konskie
306,Koprzywnica,2575,"50,5932218","21,5847266",koprzywnica
307,Korfantów,1855,"50,4879782","17,5984184",korfantow
308,Koronowo,11384,"53,3140636","17,9369813",koronowo
309,Korsze,4586,"54,1707614","21,1442323",korsze
310,Kosów Lacki,760,"52,5960805","22,1471764",kosow-lacki
311,Kostrzyn,9492,"52,3983662","17,2275394",kostrzyn
312,Kostrzyn nad Odrą,18155,"52,5898737","14,6536335",kostrzyn-nad-odra
313,Koszalin,109170,"54,19092","16,17707",koszalin
314,Koszyce,830,"50,1669806","20,5756459",koszyce
315,Kościan,24011,"52,086325","16,6449995",koscian
